TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20180101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-22.325,-22.768,2.37,-21.588,2.522,-22.325,0.0,-22.768,2.37,0.0,-21.588,2.522,0.0,131.294,-9999,-9999,88.301,88.301,0.0,-9999,-9999,166.861,166.861,0.0,-9999,-9999,127.954,127.954,0.0,-9999,-9999,0.0,0.0,0.0,100.048,100.048,0.0,0.0,0.0,0.0,3.624,3.624,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,184.5,-9999,-9999,-9999,-9999,-9999,-9999,-38.6564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.10806,0.0,-9999,-9999,-8.10806,0.0,-9999,-9999,-8.11189,0.0,0.00382773,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90934,7.27273,0.0,-9999,-9999,-27.351,8.30027,0.0,-9999,-9999,3.90934,7.27273,0.0,-9999,-9999,-27.351,8.30027,0.0,-9999,-9999,3.90934,3.90934,3.90934,3.90934,3.90934,3.90934,3.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.351,-27.351,-27.351,-27.351,-27.351,-27.351,-27.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00746124,0.0078906,0.0118085,0.000890851,0.00493863,0.00625979,0.00746124,0.00820496,0.0165911,0.0176135,0.02015,8.11562,8.11595,8.12369,0.00382878,8.113,8.11432,8.11552,8.11636,8.12475,8.12668,8.12903,0.0196383,0.0213398,0.0213727,0.00272563,0.00411881,0.00520622,0.00583847,0.0193461,0.02972,0.0297216,0.0589428,5.84934,6.04253,5.90393,0.0216186,5.75177,5.76081,5.76517,5.85537,6.06095,6.08648,6.09042,-9999,-9999
20180102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.835,-17.753,4.472,-15.305,3.824,-16.835,0.0,-17.753,4.472,0.0,-15.305,3.824,0.0,131.917,-9999,-9999,85.413,85.413,0.0,-9999,-9999,197.317,197.317,0.0,-9999,-9999,168.952,168.952,0.0,-9999,-9999,0.16,0.16,0.0,98.851,98.851,0.0,0.37,0.37,0.0,4.587,4.587,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,165.423,-9999,-9999,-9999,-9999,-9999,-9999,-26.6853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.23352,0.0,-9999,-9999,-8.23534,0.0,-9999,-9999,-8.23694,0.0,0.00588358,-8.27323,-8.27323,-8.27323,-8.23534,-8.21979,-8.21979,-8.16288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82397,7.47941,0.0,-9999,-9999,-25.8645,5.23222,0.0,-9999,-9999,2.82116,7.50008,0.0,-9999,-9999,-25.8645,5.23222,0.0,-9999,-9999,2.76275,2.76275,2.76275,2.82116,2.84514,2.84514,2.93288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.8645,-25.8645,-25.8645,-25.8645,-25.8645,-25.8645,-25.8645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667158,0.0691013,0.0878292,0.00445309,0.0506325,0.0592841,0.0667158,0.0710086,0.113127,0.116974,0.127397,8.30253,8.30445,8.32478,0.00959048,8.2339,8.25172,8.27867,8.30253,8.38632,8.39021,8.40063,0.116179,0.12668,0.116169,0.0105074,0.0405264,0.0477617,0.0512511,0.116179,0.158697,0.158705,0.243263,5.66366,5.85141,5.71652,0.0210259,5.56854,5.57702,5.5816,5.66882,5.86932,5.89406,5.89791,-9999,-9999
20180103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.727,-15.397,2.549,-13.611,0.802,-14.727,0.0,-15.397,2.549,0.0,-13.611,0.802,0.0,132.601,-9999,-9999,87.459,87.459,0.0,-9999,-9999,185.253,185.253,0.0,-9999,-9999,152.712,152.712,0.0,-9999,-9999,0.037,0.037,0.0,98.255,98.255,0.0,0.041,0.041,0.0,3.728,3.728,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,166.15,-9999,-9999,-9999,-9999,-9999,-9999,-27.9977,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.08858,0.0,-9999,-9999,-8.09838,0.0,-9999,-9999,-8.06962,0.0,0.00887173,-8.11975,-8.11975,-8.11975,-8.09838,-8.01319,-8.01319,-7.97441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85494,8.02635,0.0,-9999,-9999,-25.5437,4.41912,0.0,-9999,-9999,2.83983,8.05498,0.0,-9999,-9999,-25.5437,4.41912,0.0,-9999,-9999,2.80688,2.80688,2.80688,2.83983,2.97117,2.97117,3.03097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.5437,-25.5437,-25.5437,-25.5437,-25.5437,-25.5437,-25.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0820559,0.0850748,0.10876,0.00562608,0.0618359,0.0727067,0.0820559,0.0874718,0.140696,0.145604,0.158805,8.18103,8.18345,8.17838,0.0135405,8.05821,8.06334,8.08539,8.17681,8.26044,8.26535,8.27855,0.145063,0.158162,0.144859,0.013216,0.0496033,0.0586696,0.0630912,0.145063,0.198523,0.198533,0.304409,5.8052,5.99818,5.85937,0.0216253,5.70718,5.71563,5.72062,5.80992,6.0166,6.04196,6.04594,-9999,-9999
20180104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.88,-20.14,2.103,-16.781,3.227,-18.88,0.0,-20.14,2.103,0.0,-16.781,3.227,0.0,133.342,-9999,-9999,90.442,90.442,0.0,-9999,-9999,167.526,167.526,0.0,-9999,-9999,128.85,128.85,0.0,-9999,-9999,0.028,0.028,0.0,98.993,98.993,0.0,0.001,0.001,0.0,2.644,2.644,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,184.5,-9999,-9999,-9999,-9999,-9999,-9999,-38.6564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.10806,0.0,-9999,-9999,-8.10806,0.0,-9999,-9999,-8.11189,0.0,0.00382773,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90934,7.27273,0.0,-9999,-9999,-27.351,8.30027,0.0,-9999,-9999,3.90934,7.27273,0.0,-9999,-9999,-27.351,8.30027,0.0,-9999,-9999,3.90934,3.90934,3.90934,3.90934,3.90934,3.90934,3.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.351,-27.351,-27.351,-27.351,-27.351,-27.351,-27.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297308,0.031032,0.0418152,0.00251482,0.0214587,0.0258652,0.0297308,0.0320288,0.0557979,0.0582751,0.0646657,8.13807,8.13909,8.1537,0.00433676,8.12952,8.13392,8.13779,8.1404,8.16412,8.1692,8.17482,0.0604875,0.0658678,0.0621072,0.00651071,0.0174355,0.0210836,0.0229957,0.0604875,0.0859403,0.0859447,0.145557,5.9752,6.17086,6.03098,0.0218528,5.87714,5.88711,5.89064,5.98309,6.18949,6.21552,6.21947,-9999,-9999
20180105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.901,-20.278,1.558,-16.606,2.677,-18.901,0.0,-20.278,1.558,0.0,-16.606,2.677,0.0,134.142,-9999,-9999,90.803,90.803,0.0,-9999,-9999,166.479,166.479,0.0,-9999,-9999,127.441,127.441,0.0,-9999,-9999,0.033,0.033,0.0,99.378,99.378,0.0,0.001,0.001,0.0,2.801,2.801,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,165.423,-9999,-9999,-9999,-9999,-9999,-9999,-26.6853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.23352,0.0,-9999,-9999,-8.23534,0.0,-9999,-9999,-8.23694,0.0,0.00588358,-8.27323,-8.27323,-8.27323,-8.23534,-8.21979,-8.21979,-8.16288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82397,7.47941,0.0,-9999,-9999,-25.8645,5.23222,0.0,-9999,-9999,2.82116,7.50008,0.0,-9999,-9999,-25.8645,5.23222,0.0,-9999,-9999,2.76275,2.76275,2.76275,2.82116,2.84514,2.84514,2.93288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.8645,-25.8645,-25.8645,-25.8645,-25.8645,-25.8645,-25.8645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278598,0.029104,0.0394813,0.0024154,0.019996,0.0241803,0.0278598,0.0300536,0.0528795,0.0552882,0.061478,8.26348,8.26445,8.27643,0.0078077,8.19294,8.21089,8.24377,8.26348,8.32609,8.32852,8.33471,0.0576664,0.0627868,0.0594064,0.00631949,0.0162743,0.0197359,0.0215649,0.0576664,0.0822845,0.0822887,0.140854,6.00185,6.19865,6.05787,0.0219872,5.90309,5.91298,5.91668,6.00949,6.21738,6.24354,6.24752,-9999,-9999
20180106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.302,-19.083,5.297,-17.001,4.379,-18.302,0.0,-19.083,5.297,0.0,-17.001,4.379,0.0,135.001,-9999,-9999,88.083,88.083,0.0,-9999,-9999,187.913,187.913,0.0,-9999,-9999,156.293,156.293,0.0,-9999,-9999,0.089,0.089,0.0,99.564,99.564,0.0,0.001,0.001,0.0,2.376,2.376,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,166.15,-9999,-9999,-9999,-9999,-9999,-9999,-27.9977,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.08858,0.0,-9999,-9999,-8.09838,0.0,-9999,-9999,-8.06962,0.0,0.00887173,-8.11975,-8.11975,-8.11975,-8.09838,-8.01319,-8.01319,-7.97441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85494,8.02635,0.0,-9999,-9999,-25.5437,4.41912,0.0,-9999,-9999,2.83983,8.05498,0.0,-9999,-9999,-25.5437,4.41912,0.0,-9999,-9999,2.80688,2.80688,2.80688,2.83983,2.97117,2.97117,3.03097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.5437,-25.5437,-25.5437,-25.5437,-25.5437,-25.5437,-25.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512729,0.0532078,0.068541,0.00363033,0.0384186,0.0453196,0.0512729,0.0547357,0.0890716,0.0923109,0.100961,8.15004,8.15158,8.13816,0.0117895,8.02803,8.0384,8.05819,8.1438,8.20882,8.21206,8.22071,0.0925911,0.100931,0.0929936,0.00871083,0.0308699,0.0366194,0.0394547,0.0925911,0.127563,0.12757,0.199691,5.82956,6.02159,5.88397,0.0214763,5.7328,5.74205,5.7461,5.83609,6.03989,6.06532,6.06923,-9999,-9999
20180107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.958,-7.452,5.186,-6.134,3.032,-6.958,0.0,-7.452,5.186,0.0,-6.134,3.032,0.0,135.918,-9999,-9999,68.239,68.239,0.0,-9999,-9999,258.413,258.413,0.0,-9999,-9999,251.194,251.194,0.0,-9999,-9999,0.524,0.524,0.0,97.799,97.799,0.0,0.481,0.481,0.0,4.197,4.197,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,184.5,-9999,-9999,-9999,-9999,-9999,-9999,-38.6564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-8.10806,0.0,-9999,-9999,-8.10806,0.0,-9999,-9999,-8.11189,0.0,0.00382773,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90934,7.27273,0.0,-9999,-9999,-27.351,8.30027,0.0,-9999,-9999,3.90934,7.27273,0.0,-9999,-9999,-27.351,8.30027,0.0,-9999,-9999,3.90934,3.90934,3.90934,3.90934,3.90934,3.90934,3.90934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.351,-27.351,-27.351,-27.351,-27.351,-27.351,-27.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479991,0.488978,0.555933,0.0167261,0.40623,0.446506,0.479991,0.497758,0.65576,0.66394,0.695714,8.58884,8.59703,8.66782,0.0167583,8.51429,8.55456,8.58805,8.60885,8.76382,8.772,8.80377,0.601167,0.657309,0.586661,0.0346168,0.314663,0.350718,0.36335,0.601167,0.756301,0.756339,0.940635,4.64422,4.81155,4.68752,0.0190687,4.55361,4.55695,4.56582,4.64422,4.82771,4.84815,4.85212,-9999,-9999
20180108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.104,-3.121,1.747,-0.552,2.787,-2.104,0.0,-3.121,1.747,0.0,-0.552,2.787,0.0,136.892,-9999,-9999,88.929,88.929,0.0,-9999,-9999,233.448,233.448,0.0,-9999,-9999,217.588,217.588,0.0,-9999,-9999,0.823,0.823,0.0,97.752,97.752,0.0,0.004,0.004,0.0,3.795,3.795,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,165.423,-9999,-9999,-9999,-9999,-9999,-9999,-26.6853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,-8.23352,0.0,-9999,-9999,-8.23534,0.0,-9999,-9999,-8.23694,0.0,0.00588358,-8.27323,-8.27323,-8.27323,-8.23534,-8.21979,-8.21979,-8.16288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16671,7.36815,0.0,-9999,-9999,-24.8777,6.66008,0.0,-9999,-9999,3.1638,7.39002,0.0,-9999,-9999,-24.8777,6.66008,0.0,-9999,-9999,3.10337,3.10337,3.10337,3.1638,3.18861,3.18861,3.27937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.8777,-24.8777,-24.8777,-24.8777,-24.8777,-24.8777,-24.8777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877841,0.89058,0.986499,0.0244011,0.763126,0.825919,0.877841,0.904434,1.13478,1.14552,1.18724,9.11348,9.12593,9.22345,0.0287992,8.98292,9.04571,9.06732,9.12111,9.40778,9.41875,9.46048,1.00927,1.10434,0.98449,0.0495224,0.58641,0.644682,0.662085,1.0134,1.24146,1.24152,1.45523,5.89303,6.08791,5.94803,0.0218133,5.7945,5.80351,5.80803,5.89886,6.10649,6.13222,6.1362,-9999,-9999
20180109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.703,-2.735,2.039,-0.127,2.603,-1.703,0.0,-2.735,2.039,0.0,-0.127,2.603,0.0,137.925,-9999,-9999,58.845,58.845,0.0,-9999,-9999,260.921,260.921,0.0,-9999,-9999,254.57,254.57,0.0,-9999,-9999,0.842,0.842,0.0,98.459,98.459,0.0,0.013,0.013,0.0,2.619,2.619,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,166.15,-9999,-9999,-9999,-9999,-9999,-9999,-27.9977,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,-8.08858,0.0,-9999,-9999,-8.09838,0.0,-9999,-9999,-8.06962,0.0,0.00887173,-8.11975,-8.11975,-8.11975,-8.09838,-8.01319,-8.01319,-7.97441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29597,7.78972,0.0,-9999,-9999,-24.7221,5.59167,0.0,-9999,-9999,3.28034,7.82118,0.0,-9999,-9999,-24.7221,5.59167,0.0,-9999,-9999,3.24625,3.24625,3.24625,3.28034,3.4162,3.4162,3.47806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7221,-24.7221,-24.7221,-24.7221,-24.7221,-24.7221,-24.7221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927349,0.940331,1.03849,0.0250217,0.808842,0.873716,0.927349,0.954684,1.19089,1.20187,1.24394,9.02588,9.03871,9.10811,0.0320237,8.82204,8.90843,8.92909,9.02588,9.31063,9.32162,9.36368,1.0555,1.15503,1.02996,0.0507765,0.620922,0.681465,0.699111,1.06203,1.29507,1.29514,1.50849,4.07515,4.22994,4.11314,0.0178265,3.98603,3.99219,3.99978,4.07515,4.245,4.26283,4.267,-9999,-9999
20180110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.586,1.478,2.255,1.75,0.658,1.586,0.0,1.478,2.255,0.0,1.75,0.658,0.0,139.016,-9999,-9999,29.539,29.539,0.0,-9999,-9999,312.456,312.456,0.0,-9999,-9999,323.942,323.942,0.0,-9999,-9999,0.077,0.077,0.0,97.129,97.129,0.0,0.31,0.31,0.0,3.966,3.966,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,184.5,-9999,-9999,-9999,-9999,-9999,-9999,-38.6564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,-8.10806,0.0,-9999,-9999,-8.10806,0.0,-9999,-9999,-8.11189,0.0,0.00382773,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,-8.10806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00502,7.38222,0.0,-9999,-9999,-25.8518,10.3814,0.0,-9999,-9999,4.00502,7.38222,0.0,-9999,-9999,-25.8518,10.3814,0.0,-9999,-9999,4.00502,4.00502,4.00502,4.00502,4.00502,4.00502,4.00502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.8518,-25.8518,-25.8518,-25.8518,-25.8518,-25.8518,-25.8518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3692,1.38376,1.49875,0.02976,1.22046,1.30187,1.36799,1.40223,1.68323,1.69608,1.73848,9.47605,9.49182,9.61064,0.0296121,9.32852,9.40993,9.47605,9.51718,9.79129,9.80414,9.84654,1.45768,1.59603,1.42704,0.0607316,0.930826,1.01028,1.02918,1.48734,1.75861,1.7587,1.96213,2.11895,2.20827,2.13875,0.0104848,2.06345,2.06883,2.07258,2.11748,2.21709,2.22624,2.22918,-9999,-9999
